time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,roll,pitch,yaw
6.770,8.494,0.083,0.093,15.747,4.089,4.822,41.2,-82.4,-85.5
6.780,8.914,0.141,-0.254,16.357,9.399,5.737,40.7,-82.4,-84.8
6.790,9.272,0.192,-0.476,18.311,15.381,5.859,40.0,-82.4,-83.9
6.800,9.176,0.256,-0.673,19.287,20.691,6.042,39.1,-82.4,-82.8
6.810,9.180,0.202,-0.464,18.555,24.231,6.592,38.0,-82.3,-81.5
6.820,9.038,0.166,-0.581,19.592,23.987,6.836,36.9,-82.2,-80.2
6.830,8.781,-0.078,-0.600,20.569,22.644,7.568,35.8,-82.2,-78.9
6.840,8.462,-0.669,-0.443,21.118,17.822,7.019,34.9,-82.1,-77.7
6.850,7.952,-1.007,0.316,17.639,8.911,4.150,34.2,-82.2,-76.8
6.860,7.922,-1.235,1.495,18.433,-2.747,-0.854,33.9,-82.2,-76.4
6.870,8.093,-0.833,2.581,17.456,-19.836,-8.118,34.5,-82.3,-76.8
6.880,8.827,0.249,2.607,16.968,-37.842,-14.648,36.2,-82.5,-78.4
6.890,9.618,1.999,1.762,12.695,-49.561,-17.212,39.3,-82.7,-81.4
6.900,10.279,3.611,1.195,2.075,-48.950,-14.709,43.2,-82.9,-85.2
6.910,10.442,4.040,2.951,-14.404,-36.438,-8.789,46.7,-83.0,-88.8
6.920,11.409,3.049,8.422,-23.315,-28.381,0.854,48.1,-83.0,-90.4
6.930,14.030,4.145,9.434,-17.273,-61.096,21.606,48.4,-83.1,-91.0
6.940,14.855,3.095,3.481,-3.479,-100.647,56.213,50.4,-83.8,-93.1
6.950,13.085,-0.411,-2.664,-8.057,-91.858,81.848,53.5,-85.0,-96.2
6.960,11.317,-2.602,-2.495,-15.320,-25.330,82.825,52.4,-86.1,-95.3
6.970,10.844,-3.452,4.181,-2.441,26.245,68.787,41.8,-86.6,-84.8
6.980,12.331,-3.381,8.293,14.282,8.484,52.612,27.6,-86.7,-70.4
6.990,13.613,-0.882,4.516,38.757,-22.278,40.649,17.4,-86.8,-59.9
7.000,14.040,1.904,0.073,50.354,-9.277,37.231,11.2,-87.0,-53.2
7.010,14.059,2.642,0.700,29.968,19.531,33.386,6.6,-86.9,-48.2
7.020,12.649,1.790,2.317,4.822,19.348,24.597,3.5,-86.7,-45.0
7.030,12.366,1.685,2.515,-8.850,11.047,15.503,1.5,-86.5,-43.1
7.040,13.130,1.542,1.526,-11.719,15.625,7.324,1.0,-86.3,-42.7
7.050,11.733,1.563,1.569,-7.080,29.846,1.160,1.5,-86.0,-43.3
