BTS G-STUDIO File

--------------------------------------------------------
Versione File:		5
Sensor type:		GS2
Accelerometro (g):	±2
Magnetico (uT):	OFF
Giroscopio (°/s):	±2000
Frequenza (Hz):		100
GPS (Hz):		OFF
Informazioni sull’orientamento:	ON
Frames:	946
--------------------------------------------------------

Time		Acc.			Gyro.		Roll	Pitch	Yaw
t(s)	X(m/s²)	Y(m/s²)	Z(m/s²)	X(°/s)	Y(°/s)	Z(°/s)	(°)	(°)	(°)
0.010	9.206	-0.264	2.885	0.061	0.000	0.000	-4.5	-72.1	142.6
0.020	9.219	-0.257	2.970	0.000	0.183	0.061	-4.5	-72.1	142.6
0.030	9.187	-0.259	3.016	-0.122	0.183	0.061	-4.5	-72.1	142.6
0.040	9.235	-0.232	3.000	-0.122	0.427	0.000	-4.5	-72.1	142.6
0.050	9.190	-0.244	3.013	-0.061	0.305	-0.122	-4.5	-72.1	142.6
0.060	9.217	-0.246	3.025	0.061	0.366	-0.183	-4.5	-72.1	142.6
0.070	9.234	-0.253	2.984	0.305	0.122	-0.244	-4.5	-72.1	142.6
0.080	9.192	-0.295	2.934	0.366	0.244	-0.366	-4.5	-72.1	142.5
0.090	9.192	-0.268	2.953	0.427	0.305	-0.305	-4.5	-72.1	142.5
0.100	9.186	-0.271	2.923	0.427	0.488	-0.244	-4.5	-72.1	142.5
0.110	9.173	-0.228	2.942	0.366	0.549	-0.183	-4.5	-72.1	142.5
0.120	9.206	-0.205	2.916	0.183	0.366	-0.061	-4.5	-72.1	142.5
0.130	9.228	-0.245	2.911	0.244	0.061	-0.061	-4.5	-72.1	142.5
0.140	9.227	-0.236	2.953	0.122	-0.122	0.061	-4.5	-72.1	142.5
0.150	9.237	-0.218	2.929	-0.061	-0.061	-0.061	-4.5	-72.1	142.5
0.160	9.249	-0.233	2.969	-0.061	0.061	-0.061	-4.5	-72.1	142.5
0.170	9.271	-0.196	2.897	0.000	0.000	-0.061	-4.5	-72.2	142.5
0.180	9.289	-0.242	2.918	0.000	0.305	-0.061	-4.5	-72.2	142.5
0.190	9.275	-0.218	3.018	0.183	0.610	-0.061	-4.5	-72.2	142.5
0.200	9.277	-0.260	3.005	0.244	0.610	0.061	-4.5	-72.2	142.5
0.210	9.234	-0.226	2.964	0.305	0.916	0.061	-4.5	-72.2	142.5
0.220	9.187	-0.265	3.005	0.366	1.099	0.061	-4.5	-72.1	142.5
0.230	9.192	-0.275	2.908	0.488	1.038	0.061	-4.5	-72.1	142.5
0.240	9.215	-0.247	2.881	0.610	0.732	0.061	-4.5	-72.1	142.5
0.250	9.210	-0.270	2.849	0.732	0.488	0.061	-4.5	-72.1	142.5
0.260	9.174	-0.252	2.891	0.671	0.305	0.000	-4.5	-72.1	142.5
0.270	9.190	-0.239	2.887	0.793	0.488	0.122	-4.5	-72.2	142.5
0.280	9.207	-0.223	2.886	0.854	0.488	0.183	-4.5	-72.2	142.5
0.290	9.228	-0.215	2.926	0.671	0.305	0.244	-4.5	-72.2	142.5
0.300	9.198	-0.230	2.897	0.732	0.061	0.061	-4.5	-72.2	142.5
0.310	9.231	-0.198	2.933	0.732	0.000	0.061	-4.5	-72.2	142.5
